Date,Open,High,Low,Close,Adj Close,Volume
2017-04-03,6.8804,6.9098,6.8699,6.9057,6.9057,0
2017-04-10,6.9051,6.9313,6.8714,6.891,6.891,0
2017-04-17,6.8909,6.9059,6.7614,6.7921,6.7921,0
2017-04-24,6.7729,6.92,6.771,6.9121,6.9121,0
2017-05-01,6.9113,6.9262,6.8487,6.8847,6.8847,0
2017-05-08,6.883,6.926,6.883,6.9021,6.9021,0
2017-05-15,6.9015,6.9047,6.8464,6.8539,6.8539,0
2017-05-22,6.8531,6.9124,6.8447,6.857,6.857,0
2017-05-29,6.8572,6.8653,6.7846,6.8128,6.8128,0
2017-06-05,6.812,6.813,6.77,6.7848,6.7848,0
2017-06-12,6.7844,6.8184,6.7593,6.8034,6.8034,0
2017-06-19,6.804,6.853,6.7823,6.8342,6.8342,0
2017-06-26,6.8327,6.8452,6.761,6.7781,6.7781,0
2017-07-03,6.7782,6.8118,6.7612,6.8029,6.8029,0
2017-07-10,6.8027,6.8073,6.7404,6.7405,6.7405,0
2017-07-17,6.7413,6.7835,6.7197,6.7197,6.7197,0
2017-07-24,6.7202,6.7671,6.7202,6.7389,6.7389,0
2017-07-31,6.7388,6.7699,6.6933,6.7657,6.7657,0
2017-08-07,6.7647,6.7647,6.6427,6.662,6.662,0
2017-08-14,6.6621,6.6997,6.6533,6.6687,6.6687,0
2017-08-21,6.6692,6.6779,6.5762,6.5829,6.5829,0
2017-08-28,6.5834,6.6506,6.5377,6.5465,6.5465,0
2017-09-04,6.5472,6.5611,6.436,6.5309,6.5309,0
2017-09-11,6.5299,6.5605,6.4867,6.5507,6.5507,0
2017-09-18,6.5487,6.6207,6.5393,6.6046,6.6046,0
2017-09-25,6.6047,6.6834,6.5974,6.6578,6.6578,0
2017-10-02,6.6388,6.6671,6.6372,6.65,6.65,0
2017-10-09,6.6495,6.6525,6.5647,6.5891,6.5891,0
2017-10-16,6.5809,6.6355,6.5711,6.6223,6.6223,0
2017-10-23,6.6381,6.6603,6.6191,6.6414,6.6414,0
2017-10-30,6.6586,6.6621,6.5832,6.638,6.638,0
2017-11-06,6.638,6.643,6.6133,6.6315,6.6315,0
2017-11-13,6.6391,6.6507,6.6118,6.6168,6.6168,0
2017-11-20,6.662,6.6621,6.5666,6.6012,6.6012,0
2017-11-27,6.6011,6.6169,6.5871,6.6074,6.6074,0
2017-12-04,6.6356,6.6356,6.6027,6.6202,6.6202,0
2017-12-11,6.6181,6.6233,6.5973,6.5994,6.5994,0
2017-12-18,6.6147,6.6232,6.5469,6.5764,6.5764,0
2017-12-25,6.5785,6.5833,6.494,6.5057,6.5057,0
2018-01-01,6.5057,6.5093,6.4694,6.4788,6.4788,0
2018-01-08,6.4874,6.5342,6.4473,6.4507,6.4507,0
2018-01-15,6.458,6.46,6.3819,6.394,6.394,0
2018-01-22,6.4031,6.4118,6.3078,6.3228,6.3228,0
2018-01-29,6.3156,6.3436,6.2683,6.3022,6.3022,0
2018-02-05,6.308,6.3435,6.2462,6.2882,6.2882,0
2018-02-12,6.2878,6.3521,6.2781,6.3448,6.3448,0
2018-02-19,6.3436,6.3624,6.3273,6.3273,6.3273,0
2018-02-26,6.3363,6.3612,6.2881,6.3474,6.3474,0
2018-03-05,6.3503,6.3517,6.3074,6.3416,6.3416,0
2018-03-12,6.33,6.3359,6.3008,6.3209,6.3209,0
2018-03-19,6.3386,6.3442,6.306,6.3096,6.3096,0
2018-03-26,6.3183,6.3187,6.2342,6.2856,6.2856,0
2018-04-02,6.2832,6.3091,6.2749,6.301,6.301,0
2018-04-09,6.3063,6.3162,6.2658,6.2739,6.2739,0
2018-04-16,6.274,6.2965,6.2541,6.2865,6.2865,0
2018-04-23,6.2865,6.3472,6.2834,6.332,6.332,0
2018-04-30,6.3348,6.3691,6.3233,6.3617,6.3617,0
2018-05-07,6.3527,6.3812,6.3215,6.3331,6.3331,0
2018-05-14,6.3241,6.3798,6.3241,6.3773,6.3773,0
2018-05-21,6.3832,6.3957,6.3629,6.3874,6.3874,0
2018-05-28,6.3685,6.4326,6.3558,6.4104,6.4104,0
2018-06-04,6.4104,6.422,6.3776,6.3967,6.3967,0
2018-06-11,6.3967,6.4409,6.3807,6.4365,6.4365,0
2018-06-18,6.4294,6.512,6.4276,6.4921,6.4921,0
2018-06-25,6.504,6.6391,6.504,6.6215,6.6215,0
2018-07-02,6.6218,6.7143,6.5978,6.6415,6.6415,0
2018-07-09,6.6412,6.7335,6.5904,6.6872,6.6872,0
2018-07-16,6.6942,6.8092,6.6614,6.7609,6.7609,0
2018-07-23,6.7583,6.8384,6.7318,6.8127,6.8127,0
2018-07-30,6.8037,6.8927,6.7843,6.8288,6.8288,0
2018-08-06,6.8334,6.8626,6.798,6.8445,6.8445,0
2018-08-13,6.8372,6.9338,6.8372,6.8766,6.8766,0
2018-08-20,6.8765,6.8897,6.797,6.8775,6.8775,0
2018-08-27,6.797,6.8525,6.7907,6.829,6.829,0
2018-09-03,6.8324,6.8588,6.7975,6.8428,6.8428,0
2018-09-10,6.8338,6.8783,6.8243,6.8429,6.8429,0
2018-09-17,6.8658,6.8778,6.8295,6.8567,6.8567,0
2018-09-24,6.8561,6.891,6.8423,6.868,6.868,0
2018-10-01,6.868,6.868,6.8589,6.8589,6.8589,0
2018-10-08,6.8589,6.9323,6.8589,6.8886,6.8886,0
2018-10-15,6.9215,6.9403,6.9013,6.9367,6.9367,0
2018-10-22,6.9287,6.9632,6.9242,6.9425,6.9425,0
2018-10-29,6.9425,6.9761,6.8676,6.8899,6.8899,0
2018-11-05,6.8899,6.956,6.8897,6.9559,6.9559,0
2018-11-12,6.9559,6.9688,6.929,6.928,6.928,0
2018-11-19,6.937,6.9484,6.917,6.9385,6.9385,0
2018-11-26,6.9475,6.9589,6.9264,6.9505,6.9505,0
2018-12-03,6.958,6.9595,6.8218,6.8817,6.8817,0
2018-12-10,6.8747,6.9138,6.8626,6.8807,6.8807,0
2018-12-17,6.9066,6.911,6.8751,6.9054,6.9054,0
2018-12-24,6.9054,6.9109,6.8445,6.8772,6.8772,0
2018-12-31,6.8772,6.8817,6.8433,6.8684,6.8684,0
2019-01-07,6.8684,6.8697,6.7313,6.7617,6.7617,0
